Title,Platform,Category,Price,Duration,Difficulty,Instructor,Rating,Learners / Reviews
Modeling Time-series Data  with Deep learning,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,131
"Claude 4.5: Smarter, Faster  & More Human AI",Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.6,187
NotebookLM Essentials to Pro: The Complete Practical Guide,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.7,390
Foundations of Vector Database,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.7,280
Real World Projects on RAG,Analytics Vidhya,AI / ML / Data Science,Free,5 Hours,,Analytics Vidhya,4.6,107
Real World Projects on AI Agents,Analytics Vidhya,AI / ML / Data Science,Free,5 Hours,,Analytics Vidhya,4.7,143
Strands Agent  Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,6 Hours,,Analytics Vidhya,4.7,133
Data Analyst  Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,12 Hours,,Analytics Vidhya,4.7,8004
AI Agents  Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,12 Hours,,Analytics Vidhya,4.6,10327
Vibe Coding  Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,9 Hours,,Analytics Vidhya,4.6,9639
GenAI  Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,9 Hours,,Analytics Vidhya,4.6,36213
Data Science Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,30 Hours,,Analytics Vidhya,4.7,27384
Building AI agents with Amazon Bedrock AgentCore,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,129
"Gemini 3: The AI   That Thinks,  Sees and Creates",Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.7,656
RIP  Data Scientists,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.7,798
Building Multi Agent Systems with Strands Agents,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.7,526
Vibe Coding with Cursor,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,430
Advanced Strands Agents with MCP,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour30 Minutes,,Analytics Vidhya,4.7,525
GenAI to Build Exciting Games,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.9,863
MCP: Unlock AI integrations with real-world demos,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,683
ChatGPT  as  Your Assistant,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,6777
Exploratory Data Analysis with Python & GenAI,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,9558
Ace a Data Scientist Interview in 2025,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.5,34371
LangChain   Fundamentals,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours30 Minutes,,Analytics Vidhya,4.5,1187
