title,platform,category,domain,level,price,duration_hours,lessons,rating,enrollments,page,url
Claude Code:  The Coding Assistant,Analytics Vidhya,General,Technology,N/A,Paid,0.0,0,0.0,100,1,
"Claude 4.5: Smarter, Faster  & More Human AI",Analytics Vidhya,General,Technology,N/A,Free,0.0,3,4.6,305,1,
NotebookLM Essentials to Pro: The Complete Practical Guide,Analytics Vidhya,General,Technology,N/A,Free,0.0,0,4.7,519,1,
ChatGPT  as  Your Assistant,Analytics Vidhya,General,Technology,N/A,Free,1.0,2,4.6,7091,1,
Real World Projects on RAG,Analytics Vidhya,General,Technology,N/A,Free,5.0,5,4.6,378,1,
Real World Projects on AI Agents,Analytics Vidhya,AI Agents,Technology,N/A,Free,5.0,5,4.7,317,1,
Strands Agent  Learning Path,Analytics Vidhya,General,Technology,N/A,Free,6.0,4,4.7,182,1,
Data Analyst  Learning Path,Analytics Vidhya,General,Technology,N/A,Free,12.0,10,4.7,8922,1,
AI Agents  Learning Path,Analytics Vidhya,AI Agents,Technology,N/A,Free,12.0,9,4.6,10999,1,
Vibe Coding  Learning Path,Analytics Vidhya,General,Technology,N/A,Free,9.0,5,4.6,9933,1,
GenAI  Learning Path,Analytics Vidhya,Generative AI,Technology,N/A,Free,9.0,7,4.6,37804,1,
Data Science Learning Path,Analytics Vidhya,General,Technology,N/A,Free,30.0,9,4.7,28323,1,
Modeling Time-series Data  with Deep learning,Analytics Vidhya,General,Technology,N/A,Free,1.0,4,4.8,151,1,
Building AI agents with Amazon Bedrock AgentCore,Analytics Vidhya,AI Agents,Technology,N/A,Free,1.0,1,4.8,179,1,
Foundations of Vector Database,Analytics Vidhya,General,Technology,N/A,Free,0.0,0,4.7,338,1,
"Gemini 3: The AI   That Thinks,  Sees and Creates",Analytics Vidhya,General,Technology,N/A,Free,1.0,5,4.7,834,1,
RIP  Data Scientists,Analytics Vidhya,General,Technology,N/A,Free,1.0,1,4.7,837,1,
Building Multi Agent Systems with Strands Agents,Analytics Vidhya,AI Agents,Technology,N/A,Free,2.0,1,4.7,595,1,
Vibe Coding with Cursor,Analytics Vidhya,General,Technology,N/A,Free,1.0,2,4.8,464,1,
Advanced Strands Agents with MCP,Analytics Vidhya,AI Agents,Technology,N/A,Free,1.0,1,4.7,585,1,
GenAI to Build Exciting Games,Analytics Vidhya,Generative AI,Technology,N/A,Free,2.0,4,4.9,950,1,
MCP: Unlock AI integrations with real-world demos,Analytics Vidhya,General,Technology,N/A,Free,1.0,1,4.8,711,1,
Exploratory Data Analysis with Python & GenAI,Analytics Vidhya,Generative AI,Technology,N/A,Free,1.0,1,4.6,10586,1,
Ace a Data Scientist Interview in 2025,Analytics Vidhya,General,Technology,N/A,Free,2.0,6,4.5,36177,1,
LangChain   Fundamentals,Analytics Vidhya,General,Technology,N/A,Free,2.0,4,4.5,1400,1,
Introduction to CrewAI: Building a Researcher Assistant Agent,Analytics Vidhya,General,Technology,N/A,Free,0.0,2,4.7,11707,1,
Understanding the working of Neural Networks,Analytics Vidhya,General,Technology,N/A,Free,2.0,2,4.7,1472,1,
